page,text,Class
128,"U.S. Department of Justice Atlerftey Werk Predttet // May Cefttaifl. Mttt... After the June 9 meetin ... Goldstone, he told Trump Jr. ... told Emin A alarov 745 Aras Agalaro v asked Kaveladze to report in after the meeting , but before Kavel... Veselnitskaya next to him , Kaveladze reported... Aras Agalarov that the meeting about the Magni... not with lawyers and they were ""preaching to t... c. Post-June 9 Events Veselnitskaya and Aras Agalarov made at least ... to meet with Trump representatives to convey s... Magnitsky Act. 749 On Novem ber 23, 2016, Kave... meeting ""with T people"" and sent a document be... ° June 9. 75 Kaveladze followed up with Goldston... understood to mean Aras Agalarov , called to a... document to Rhona Graff, saying that ""Aras Aga... the hope it can be passed on to the appropriat... Goldstone 2/8/18 302, (and one text message shows) that, shortly aft... e ts co ecting the DNC hacking announcement ... OSC-KAV_00029 (6/14/16 Email, Goldstone to E. Agalarov & Kaveladze (10:09 a.m.)). The invest... June 9 to the GRU's hack-and-dump operation. O... Agalarov). 746 747 Kaveladze 11/16/17 302, at 8; Call Records ofi... 748 Kaveladze 11/16/17 302, at 8; Call Records of ... On June 14, 2016 Kaveladze's teenage daughter ... Kaveladze responded, ""meeting was boring. The ... KA V_00257 (6/14/16 Email, I. Kaveladze to A. ... 749 Goldstone 2/8/18 302, at 11; 750 OSC-KAV 00138 11/23/ 16 Email, Goldstone to Ka... 751 RG000196 (11/26-29/16 Text Messages, Goldstone... 120 NaN",2
129,"U.S. Department of Justice Atte,me, We,rk Pre,dttet // M1ty Cmttttifl Mtt... in New York currently and happy to meet with a... to Goldstone, around January 2017, Kaveladze c... Goldstone did not make the request. 753 The in... team following up. Participants in the June 9, 2016 meeting began... representing the Trump Organization starting i... June 2, 2017, Goldstone spoke with Alan Garten... about his participation in the June 9 meeting ... name to Garten, identifying her as the ""woman ... from Moscow. "" 756 Later in June 2017 , Goldst... Alan Futerfas, outside counsel for the Trump O... for Trump Jr.). 757 On June 27, 2017 , Goldsto... attorneys"" and stated that he was ""interviewed... ""concerned because it links Don Jr. to officia... meeting."" 758 Goldstone stressed that he ""did ... meeting ."" 759 Emin Agalarov sent a screenshot... The June 9 meeting became public in July 2017.... Agalarov, Goldstone wrote ""I made sure I kept ... contacted I can do a dance and keep you out of... and ""I hope this favor was worth for your dad-... Agalarov complained to Kaveladze that his fath... 752 Goldstone 2/8/18 302, at 11; ... Email, Goldstone to Graff). 753 754 755 756 RG000256 (6/2/17 Email, Goldstone to Garten). 7 57 758 RG000092 (6/27/ 17 Email, Goldstone to E. Agal... 760 OSC-KA V_01190 (6/27/ 17 Text Message , E. Aga... 761 RG000286-87 (7/9/17 Text Messages, E. Agalarov... 121 NaN",2
130,"U.S. Department of Justice At-torRe)""Work Proch::1et // Mtt)""CorttttiHMt... relationship with ""mr T has been thrown down t... commented to Emin Agalarov about the volume of... stating that his ""reputation [was] basically d... insisted on even though Ike and Me told him wo... added, ""I am not able to respond out of courte... mysterious link to Putin ."" 766 After public reporting on the June 9 meeting b... Organization again reached out to participants... with a proposed statement for Goldstone to iss... As the person who arranged the meeting , I can... read by Donald Trump Jr. are 100% accurate. Th... and Don was never told Ms. Veselnitskaya ' s n... mostly talked about the Magnitsky Act and Russ... 20 to 30 minutes at most. There was never any ... meeting. 767 the statement drafted by Trump Organization re... 768 He proposed a different statement, asserting t... asked ""by [his] client in Moscow - Emin Agalar... attorney (Natalia Veselnitzkaya [sic]) and Don... that she had some information regarding fundin... Trump Jr. might find interesting."" 769 Goldsto... On the Russian end, there were also communicat... about the June 9 meeting. Specifically, the or... Magnitsky Act group controlled by Veselnitskay... $90,000 of Samochornov ' s legal fees. 771 At ... Samochornov a transcript of a Veselnitskaya pr... the organization would pay his legal fees only... Veselnitskaya's. 772 Samochornov declined , te... 764 OSC-KAV 01197 (7/11-12/17 Text Messages, Kavel... 765 Investigative Technique 766 Investigative Technique 767 7/10/ 17 Email, Goldstone to Futerfas & Garten. 768 769 7/10/ 17 Email, Goldstone to Futerfas & Garten. 770 772 122 NaN",2
131,"U.S. Department of Justice AUem.ey Wet·lc Pt'edt1et // May Centain Materi... himself. 773 The individual who conveyed Vesel... did not expressly condition payment on followi... recognized that by sending the transcript, Sam... 774 assistance to be conditioned on his not contra... Volume II, Section 11.G, infra, discusses inte... and others in June and July 2017 regarding the... 6. Events at the Republican National Convention Trump Campaign officials met with Russian Amba... of the Republican National Convention . The ev... and non-substantive. During platform committee... J.D. Gordon, a senior Campaign advisor on poli... amendment to the Republican Party platform exp... to Ukraine in response to Russian aggression. ... personnel revise the proposed amendment to sta... to Ukraine. The original sponsor of the ""letha... (the sponsor) that he was on the phone with ca... dilute the language. Gordon denied maki... acknowledged it was possible he mentioned havi... subject matter. The investigation did not esta... candidate to make that proposal. Gordon said t... proposed language was inconsistent with Trump ... a. Ambassador Kislyak's Encounters with Senato... Week of the RNC In July 2016, Senator Sessions and Gordon spok... event , a conference co-sponsored by the State... Cleveland , Ohio the same week as the Republic... ""Convention""). 775 Approximately 80 foreign am... were invited to the conference. 776 On July 20, 2016, Gordon and Sessions delivere... his speech, Gordon stated in pertinent part th... 773 Samochornov 7/13/17 302, at 1. 774 775 Gordon 8/29/17 302, at 9; Sessions 1/17/18 302... why Jeff Sessions and a Russian Ambassador Cro... (Mar. 2, 2017). 776 Gordon 8/29/17 302, at 9; Laura DeMarco, Globa... International Republican National Convention G... 777 Gordon 8/29/17 302, at 9; Sessions 1/17/18 302... 123 NaN",2
132,"U.S. Department of Justice Attemey Vierk Preattet ,'/ Mt1j CeHtttiH Mater... 1 Russia. 778 During Sessions's speech, he took ... been asked by Kislyak. 779 • When the speeches... the speakers. 780 Gordon shook hands with Kisl... in the speech about improving U.S.-Russia rela... six and 12 ambassadors, including Kislyak. 782... the Office that he had no specific recollectio... the two spoke for only a few minutes and that ... some things about U.S.-Russia relations. 783 Later that evening, Gordon attended a receptio... into Kislyak as the two prepared plates of foo... They were joined at that table by the ambassad... Campaign advisor Carter Page. 786 As they ate,... estimated to have been three to five minutes ,... what he said in his speech about improving U.S... b. Change to Republican Party Platform In preparation for the 2016 Convention, foreig... working with the Republican National Committee... platform to identify divergence between the ea... The Campaign team discussed toning down langua... as the country 's number one threat, given the... relations with Russia. 789 The RNC Platform Co... National Security and Defense Platform Subcomm... 778 Gordon 8/29/17 302, at 9. 779 Sessions 1/17/18 302, at 22; Luff 1/30/18 302,... 780 Gordon 8/29/17 302, at 9; Luff 1/30/18 302, at 3. 781 Gordon 8/29/17 302, at 9. 782 Sessions 1/ 17/18 302, at 22; Luff 1/30/18 302... (explaining that Sessions and Kislyak may have... held on April 26, 2016, at the Mayflower Hotel). 783 Sessions 1/17/18 302, at 22. 784 Gordon 8/29/17 302, at 9-10. 785 Gordon 8/29/17 302, at 9-10. 786 Gordon 8/29/17 302, at 10; see also Volume I, ... acknowledged meeting Kislyak at this event). 787 Gordon 8/29/17 302, at 10. 788 Gordon 8/29/17 302, at 10. 789 Gordon 8/29/17 302, at 10. 124 NaN",2
133,"U.S. Department of Justice A:ttemey 'Nerk Pretittet // May Cetttaifl Mate... 7 0 first meeting to propose amendments. ~ Although only delegates could participate in f... the Trump Campaign could request changes, and ... committee meetings. 791 John Mashburn , the Ca... Campaign's involvement in the platform committ... directed Campaign staff at the Convention, inc... 793 and only to challenge platform planks if they ... On July 11, 2016, delegate Diana Denman submit... included provision of armed support for Ukrain... military aggression"" in Ukraine and announced ... increasing) sanctions against Russia until Ukr... restored"" and for ""providing lethal defensive ... coordination with NA TO on defense planning."" ... changes, including Denman 's .796 Gordon state... Trump's stated position on Ukraine, which Gord... 31 foreign policy meeting-namely, that the Eur... assistance to Ukraine, that there should be im... want to start World War III over that region. ... on the campaign trail following the March meet... Gordon felt obliged to object to the proposed ... On July 11, 2016, at a meeting of the National... Subcommittee , Denman offered her amendment. 7... Miller, approached a committee co-chair and as... discussion. 800 Gordon's concern with the amen... 790 Gordon 8/29/17 302, at 10; Hoff 5/26/17 302, a... 79 1 Hoff 5/26/17 302, at 1; Gordon 9/7/17 302, at 10. 792 Mashburn 6/25/18 302, at 4; Manafort 9/20/18 3... 793 Mashburn 6/25/18 302, at 4; Gordon 8/29/ 17 30... 794 DENMAN 000001-02, DENMAN 000012, DENMAN 000021... Denman 6/7 /17 302, at 2. 795 DENMAN 000001-02 , DENMAN 000012, DENMAN 00002... 796 Gordon 8/29/17 302, at 10-11. 797 Gordon 8/29/17 302, at 11; Gordon 9/7/17 302, ... 798 Gordon 2/14/19 302, at 5-6. 799 Denman 6/7/17 302, at 2; see DENMAN 000014. 800 Denman 6/7/17 302, at 2; Denman 12/4/ 17 302, ... 5/26/17 302, at 2. 125 NaN",2
134,"U.S. Department of Justice Attomey \Vork Prodttet // May Cofltaifl: Mater... defensive weapons to Ukraine."" 801 Miller did ... language contradicted Trump's views and relied... views. 802 According to Denman, she spoke with Gordon and... had to clear the language and that Gordon was ... she was asked by the two Trump Campaign staffe... proposal but that she refused. 804 Demnan reca... candidate Trump, but she was skeptical whether... Denman that he was on the phone with Trump, al... mentioned having previously spoken to the cand... records reveal a call to Sessions's office in ... directly to a number associated with Trump. 80... to the Office's questions, he does not recall ... platform amendment. 808 Gordon stated that he tried to reach Rick Dear... Mashburn, the Campaign policy director. Gordon... could not recall if by phone or in person) and... the proposed amendment. Gordon recalled no obj... all three Campaign advisors supported the alte... Dearborn recalled Gordon warning them about th... Gordon was more familiar with the Campaign's f... Gordon reached him, and he told Gordon that Tr... the Campaign should not intervene .811 When the amendment came up again in the commit... changed the amendment by striking the ""lethal ... 80 1 Denman 6/7/17 302, at 3. 802 M. Miller 10/25/ 17 302 at 3. 803 Denman 12/4/17 302, at 2; Denman 6/7/17 302, a... 804 Hoff 5/26/17 302, at 2. 805 Denman 6/7/17 302, at 2-3, 3-4; Denman 12/4/17... 806 Gordon 2/14/19 302, at 7. 807 Call Records of J.D. Gordon ... his calls with Sessions were unrelated to the ... 808 Written Responses of Donald J. Trump (Nov. 20,... Part (f)). 809 Gordon 2/14/19 302, at 6-7; Gordon 9/7/17 302,... 810 Dearborn 11/28/17 302, at 7-8. 811 Mashburn 6/25/18 302, at 4. 126 NaN",2
135,"U.S. Department of Justice Attomey 'Nork Prodttet // Ma-y Corttail'l.Mate... ""appropriate assistance."" 812 Gordon stated th... agreed to replace the language about armed ass... subcommittee accordingly approved Denman's ame... assistance."" 814 Gordon stated that, to his re... Campaign. 815 Sam Clovis, the Campaign's natio... was surprised by the change and did not believ... stated that when he saw the word ""appropriate ... Mashburn's directive not to intervene. 8 17 7. Post-Convention Contacts with Kislyak Ambassador Kislyak continued his efforts to in... responsibility for the foreign-policy portfoli... after the Convention. The Office did not ident... between the Campaign and the Russian government. a. Ambassador Kislyak Invites J.D. Gordon to B... Residence On August 3, 2016, an official from the Embass... States wrote to Gordon "" [o]n behalf of' Ambas... breakfast/tea with the Ambassador at his resid... Gordon responded five days later to decline th... for us, as we are busily knocking down a const... for the first debate with HRC. Hope to take a ... a bit. Please pass along my regards to the Amb... evidence that Gordon made any other arrangemen... b. Senator Sessions's September 2016 Meeting w... Also in August 2016, a representative of the R... office about setting up a meeting with Kislyak... 812 Hoff 5/26/17 302, at 2-3; see Denman 12/4/ 17 ... 8 13 Gordon 8/29/17 302, at 11; Gordon 9/7/17 302, ... 814 Hoff 5/26/17 302, at 2-3. 81 5 · Gordon 2/14/19 302, at 6. 816 Clovis 10/3/17 302, at 10-11. 817 Mashbu rn 6/25/18 302, at 4. 818 DJTFP00004828 (8/3/16 Email, Pchelyakov [embas... 819 DJTFP00004953 (8/8/16 Email, Gordon to embassy... 820 Luff 1/30/18 302, at 5. 127 NaN",2
136,"U.S. Department of Justice AMerttey Werk Predttet // May Cetttaitt MU-1:e... Senate Foreign Relations Committee and would m... Sessions's staff reported , and Sessions himse... ambassadors increased substantially in 2016, a... Campaign and his name was mentioned for potent... Trump Administration. 822 On September 8, 2016 , Sessions met with Kisly... that he believed he was doing the Campaign a s... including Kislyak. 824 He was accompanied in t... Sandra Luff , his legislative director; and Pe... meeting lasted less than 30 minutes. 826 Sessi... defense system to Iran , Russian planes buzzin... aggression in emerging democracies such as Ukr... explanations on these issues and complained ab... countries that border Russia. 828 Landrum reca... campaign as ""an interesting campaign,"" 829 and... Russian government was receptive to the overtu... None of the attendees, though, remembered any ... request that Sessions convey information from ... During the meeting , Kislyak invited Sessions ... him over a meal at the ambassador's residence.... extended the invitation. After the meeting end... on-one meeting with Kislyak, whom she assessed... nor Landrum recalled that Sessions followed up... 821 Sessions 1/17/18 302, at 23-24; Luff 1/30/18 3... 822 Sessions 1/17/18 302, at 23-24; Luff 1/30/ 18 ... 823 Sessions 1/17/18 302, at 23. 824 Sessions 1/17/18 302, at 23. 825 Sessions 1/17/18 302, at 23; Luff 1/30/18 302,... could not remember if election was discus sed). 826 Luff 1/30/18 302 , at 6; Landrum 2/27/18 302, ... 827 Luff 1/30/ 18 302, at 6; Landrum 2/27/18 302, ... 828 Luff 1/30/18 302, at 6; Landrum 2/27/18 302 at... 829 Landrum 2/27/18 302, at 5. 830 Sessions 1/17/18 302, at 23. Sessions also not... about Trump and hoped he would pass along info... 831 Sessions 1/17/ 18 302, at 23; Luff 1/30/18 302... 832 Luff 1/30/ 18 302, at 5; Landrum 2/27/18 302, ... 833 Luff 1/30/18 302, at 5. 128 NaN",2
137,"U.S. Department of Justice Atterftey '+¥erk Prndttet // Miey Cefttttift M... or meet with Kislyak before the November 2016 ... after the election , some efforts were made to... According to Sessions, the request came throug... Sessions and Kislyak , two other ambassadors, ... however, was in New York on the day of the ant... investigation did not identify evidence that t... meeting. 8. Paul Manafort Paul Manafort served on the Trump Campaign, in... from March to August 2016. 838 Manafort had co... Russian oligarch Oleg Deripaska and later thro... Manafort stayed in touch with these contacts d... Kilimnik, a longtime Manafort employee who pre... the FBI assesses to have ties to Russian intel... Manafort instructed Rick Gates, his deputy on ... to provide Kilimnik with updates on the Trump ... although Manafort claims not to recall that sp... share that information with others in Ukraine ... polling data to Kilimnik during the campaign. 834 Luff 1/30/18 302, at 6; Landrum 2/27/18 302, a... 835 Sessions 1/17/l 8 302, at 23. 836 Sessions 1/17/18 302, at 23. 837 Sessions 1/ 17/18 302, at 23. 838 On August 21, 2018, Manafo1t was convicted in ... Foreign Bank Account Registration (FBAR), and ... pleaded guilty in the District of Columbia to ... commit offenses against the United States (mon... Registration Act (FARA), and FARA false statem... tampering). Manafort also admitted criminal co... District of Virginia, but as to which the jury... work in Ukraine and the money he earned for th... On March 7, 2019, Manafort was sentenced to 47... March 13, the district court in D.C. sentenced... Count 1 conspiracy (with 30 of those months to... the Count 1 conspiracy, to be served consecuti... a total term of 90 months. 839 As noted in Volume I, Section III.D. l .b, sup... the District of Columbia, including making a f... has provided information and in-court testimon... Transcript at 16, United States v. Paul J Mana... (""Manafort 2/13/19 Transcript"") (court 's expl... instance). 129 NaN",2
138,"U.S. Department of Justice Atttm1ey Wark Pradttet /,' May Cal'l:taiflMate... Manafort also twice met Kilimnik in the United... conveyed campaign information. The second meet... City. Kilimnik requested the meeting to delive... President Viktor Y anukovych, who was then liv... plan for Ukraine that Manafort has since ackno... control eastern Ukraine. Several months later,... email to Manafort expressing the view-which Ma... success would require U.S. support to succeed:... minor ' wink' (or slight push) from [Donald Tr... were designated as the U.S. representative and... reception in Russia ""at the very top level."" Manafort communicated with Kilimnik about peac... occasions after their first discussion of the ... described above); January 2017; February 2017;... reviewed numerous Manafort email and text comm... the plan in written questions. 841 The investi... along information about Ukrainian peace plans ... the Administration. The Office was not , howev... electronic communications (in some instances ,... And while Manafort denied that he spoke to mem... Administration about the peace plan, he lied t... and his meetings with Kilimnik, and his unreli... the district judge found that he breached his ... The Office could not reliably determine Manafo... with Kilimnik during the campaign period. Mana... a downside to sharing campaign information , a... Investigative Technique . .. . .. I I' · . . • 841 According to the President's written answers, ... to him any particular positions that Ukraine o... Responses of Donald J. Trump (Nov. 20, 2018), ... 842 Manafort made several false statements during ... determined that Manafort had breached his plea... judge presiding in Manafort ' s D.C. criminal ... intentionally made multiple false statements t... interactions and communications with Kilimnik ... refers at times to Manafort' s statements , it... to be trustworthy, to identify issues on which... evidentiary value, or to provide Manafort's ex... determine whether that explanation was credible. 130 NaN",2
139,"U.S. Department of Justice AtterHey Werk Predttet // Mtt:,·CeAtttiHMttter... be ""good for business "" and potentially a way ... in the Ukraine. As to Deripaska, Manafort clai... him, Deripaska might see value in their relati... one or more outstanding lawsuits. Because of q... limited ability to gather evidence on what hap... the Office could not assess what Kilimnik (or ... Office did not identify evidence of a connecti... Russia's interference in the election, which h... time of the August 2 meeting. The investigatio... coordinated with the Russian government on its... a. Paul Manafort's Ties to Russia and Ukraine Manafort' s Russian contacts during the campai... consulting work for Deripaska from approximate... consulting work in Ukraine from 2005 to 2015, ... LLC (DMI). Kilimnik worked for Manafort in Kie... communicate with Manafort through at least Jun... Ukrain ian and Russian, facilitated many of Ma... Ukrainian oligarchs. i. Oleg Deripaska Consulting Work In approximately 2005, Manafort began working ... has a global empire involving aluminum and pow... Vladimir Putin. 843 A memorandum describing wo... 2005 regarding the post-Soviet republics refer... that the work could confer on ""the Putin Gover... for Deripaska as ""political risk insurance ,"" ... friendly political officials in countries wher... company earned tens of millions of dollars fro... of dollars by Deripaska as well. 846 In 2007, Deripaska invested through another en... L.P. (""Pericles""), an investment fund created ... Richard Davis. The Pericles fund was estab lis... Deripaska was the sole investor. 848 Gates sta... 843 Pinchuk et al., Russian Tycoon Deripask a in P... 844 6/23/05 Memo, Manafort & Davis to Deripaska & ... 845 Gates 2/2/18 302, at 7. 846 Manafort 9/20/18 302, at 2-5; Manafort Income ... Wire Transfers, 2005 - 2015. 847 Gates 3/12/18 302, at 5. 848 Manafort 12/16/15 Dep., at 157:8-11. 131 NaN",0
140,"U.S. Department of Justice Att6mey W6rk Prndttet // Miey Cmitaitt Materia... to a deterioration of the relationship between... fund failed, litigation between Manafort and D... Manafort's business relationship with Deripask... interactions with Deripaska and his intermedia... resolve the legal dispute. 851 As described be... engaged in efforts to revive the Deripaska rel... ii. Political Consulting Work Through Deripaska, Manafort was introduced to ... who hired Manafort as a political consultant. ... political work supporting the Party of Regions... understood to align with Russia. Manafort assi... its candidate , Viktor Yanukovych , won the pr... trusted political advisor to Y anukovych durin... served in that role until 2014, when he fled t... iii. Konstantin Kilimnik Kilimnik is a Russian national who has lived i... longtime Manafort employee. 855 Kilimnik had d... senior entourage, and he facilitated communica... Yanukovych and multiple Ukrainian oligarchs. 8... Deripaska's deputy, Viktor Boyarkin, 857 a Rus... attache office of the Russian Embassy to the U... 849 Gates 2/2/18 302, at 9. 850 Gates 2/2/18 302, at 6. 851 Gates 2/2/18 302, at 9-10. 852 Manafort 7 /30/14 302, at 1; Manafort 9/20/18 ... 853 Manafort 9/11/18 302, at 5-6. 854 Gates 3/16/18 302 , at 1; Davis 2/8/18 302, at... 855 Patten 5/22/18 302, at 5; Gates 1/29/18 302, a... Department of State. 856 Gates 1/29/18 302, at 18-19; Patten 5/22/18 30... 302, at 2; Gates 2/2/18 302, at 11. 857 Gates 1/29/18 302, at 18; Patten 5/22/18 302, ... 858 Boyarkin Visa Record, U.S. Department of State. 132 NaN",0
141,"U.S. Department of Justice Atlerney Werlt Predttet // Mtty Centttin Mttte... Manafort told the Office that he did not belie... ""spy .""859 The FBI, however, assesses that Kil... pieces of the Office ' s evidence-including wi... authorized search warrants-support that assess... • Kilimnik was born on April 27, 1970, in Dn... and attended the Military Institute of the Min... Patten, a business partner to Kilimnik, 862 st... translator in the Russian army for seven years... armament industry selling arms and military eq... • U.S. government visa records reveal that K... States with a Russian diplomatic passport in 1... • Kilimnik worked for the International Repu... he did translation work and general office man... another official recalled the incident differe... TRI told the FBI that Kilimnik was fired from ... intelligence were too strong. The same individ... Kilimnik had links to the Russian government. 867 • Jonathan Hawker, a British national who wa... Consulting , worked with DMI on a public relat... Hawker ' s work for DMI ended, Kilimnik contac... 859 Manafort 9/11/18 302, at 5. 860 The Office has noted Kilimnik's assessed ties ... E.g. , Gov't Opp . to Mot. to Modify, United S... 2017), Doc. 73, at 2 (""Manafort (D.D.C.) Gov't... 861 12/17/16 Kilimnik Visa Record, U.S. Department... 862 In August 2018, Patten pleaded guilty pursuant... Agents Registration Act, and admitted in his S... documents from the Senate Select Committee on ... election interference. Plea Agreement, United ... 2018) , Doc. 6; Statement of Offense, United S... 2018), Doc. 7. 863 Patten 5/22/18 302, at 5-6. 864 10/28/97 Kilimnik Visa Record , U.S. Departmen... 865 Nix 3/30/18 302, at 1-2. 866 Nix 3/30/18 302, at 2. 867 Lenzi 1/30/18 302, at 2. 133 NaN",0
142,"U.S. Department of Justice Attet'tle)' Werk Predttet /,' Mtty Cefl:tttil'... government entity on a public -relations proje... Ukrainian media, Russia's position on its 2014... • Gates suspected that Kilimnik was a ""spy ,... and Alexander van der Zwaan, 869 an attorney w... the Ukrainian Ministry of ForeignAffairs. 870 Investigative Technique b. Contacts during Paul Manafort's Time with t... i. Paul Manafort Joins the Campaign Manafort served on the Trump Campaign from lat... 29, 2016, the Campaign announced that Manafort... Manager."" 871 On May 19, 2016 , Manafort was p... strategist, and Gates, who had been assisting ... campaign chairman. 872 Thomas Barrack and Roger Stone both recommende... early 2016 , at Manafort ' s request, Barrack ... to manage the Republican Convention. 874 Stone... 1980 until the mid- l 990s through various con... 1982 when Trump hired the Black, Manafort, Sto... Manafort saw Trump at political and social eve... Trump requested VIP status at the 1988 and 199... 868 Hawker 1/9/18 302, at 13; 3/18/14 Email, Hawke... 869 van der Zwaan pleaded guilty in the U.S. Distr... false statements to the Special Counsel's Offi... 1:18-cr-31 (D.D.C. Feb. 20, 2018), Doc. 8. 870 Hawker 6/9/18 302, at 4; van der Zwaan 11/3/17... Gates had joked with Kilimnik about Kilimnik's... 302, at 7. 871 Press Release-DonaldJ. Trump Announces Campaig... The American Presidency Project - U.C. Santa B... 872 Gates 1/29/18 302, at 8; Meghan Keneally, Time... ABC News (Oct. 20, 2017). 873 Gates 1/29/18 302, at 7-8; Manafort 9/1 1/18 3... 874 Barrack 12/12/17 302, at 3; Gates 1/29/18 302,... 875 Manafort 10/16/18 302, at 6. 876 Manafort 10/16/18 302, at 6. 134 NaN",0
143,"U.S. Department of Justice MterHe5\Vefk Preclttet// P..4ey CetttoiH~4f... According to Gates, in March 2016, Manafort tr... Florida to meet with Trump. Trump hired him at... Campaign without pay. Manafort had no meaningf... his domestic political campaign career could b... that Manafort intended, if Trump won the Presi... monetize his relationship with the Administrat... ii. Paul Manafort's Campaign-Period Co... Immediately upon joining the Campaign, Manafor... separate memoranda addressed to Deripaska, Akh... Kolesnikov, 879 the last three being Ukrainian... officials. 880 The memoranda described Manafor... indicated his willingness to consult on Ukrain... emailed the memoranda and a press release anno... translation and dissemination. 881 Manafort la... had been delivered, emailing on April 11, 2016... the media coverage of his new role. 882 Kilimn... further asked: ""How do we use to get whole. Ha... seen?"" Kilimnik wrote back the same day, ""Yes,... [Boyarkin, Deripaska's deputy], who has been f... Gates reported that Manafort said that being h... business"" and increase the likelihood that Man... he was owed for previous political consulting ... Office that Manafort thought his role on the C... dropped the Pericles lawsuit, and that Gates b... 877 Gates 2/2/18 302, at IO. 878 Gates 1/30/18 302, at 4. 879 Gates 2/2/18 302, at 11. 0 "" See Sharon LaFraniere, Manafort's Trial Is... Times (July 30, 2018); Tierney Sneed, Prosecut... Ukraine, Talking Points Memo (July 30, 2018); ... Revenge on Ukraine, Atlantic Council (Sept. 23... Calling the Shots, Foreign Policy (Aug. 14, 20... Punishment Needed for Real Fight Against Smugg... Kyiv Hotel Industry Makes Room for New Entrant... the Kremlin Can Win Ukraine's Elections, Atlan... Ukraine political party that largely reconstit... 881 3/30/16 Email, Gates to Kilimnik. 882 4/11/16 Email, Manafort & Kilimnik. 883 4/11/16 Email, Manafort & Kilimnik. 884 Gates 2/2/18 302, at 10. 135 NaN",2
144,"U.S. Department of Justice Attort'ley 'Nork Prodttet // Mf:l-)CoFttatFtMa... 1 discussed further below) so that Deripaska wou... Manafort .885 Gates further stated that Deripa... could believe that having Manafort in a positi... helpful to Deripaska, and that Manafort's rela... ways as well. 886 Gates stated, however, that ... if anything, Manafort might be offering Deripa... Gates also reported that Manafort instructed h... Kilimnik Campaign internal polling data and ot... it with Ukrainian oli archs. 888 Gates underst... Deripaska ... that he did not know why Manafort wanted him t... was a way to showcase Manafort 's work, and Ma... Trump Campaign ended. 890 Gates said that Mana... polling data prepared for the Trump Campaign b... with Manafort for years and was brought into t... accordance with Manafort's instruction , he pe... Gates then deleted the communications on a dai... Manafort left the Campaign in mid-August , Gat... that the data he sent was more publicly availa... with multiple emails that Kilimnik sent to U.S. associates and press con... Those emails referenced ""internal polling, "" d... 885 Gates 2/2/18 302, at 11; Gates 9/27/18 302 (se... 886 Gates 2/2/18 302, at 12. 887 Gates 2/2/18 302, at 12. 888 Gates 1/31/18 302, at 17; Gates 9/27 / 18 ... Office, Gates stated that Manafmt directed him... between Manafmt and Kilimnik in New York, disc... 11/7/18 302, at 3. 889 Gates 9/27/18 302, Part II, at 2; 890 Gates 2/12/18 302, at 10; Gates 1/3 1/18 302 ,... 891 Gates 9/27/18 302 (serial 740), at 2; Gates 2/... 892 Gates 1/31/18 302, at 17. 893 Gates 2/12/18 302, at 11-12. According to Gate... limited because Fabrizio was himself distanced... 894 136 NaN",2
145,"U.S. Department of Justice AttofHey Wofk Pfotlttet // Mtty CoHtttiHMttter... and assessed Trump ' s prospects for Gates to send Kilimnik internal data, The Office also obtained contemporaneous email... communications with Deripaska and that are con... response to a July 7, 20 I 6, email from a Ukr... backed investment, Manafort asked Kilimnik whe... with our friend. "" 897 Gates stated that ""our ... told the Office that the ""issue"" (and ""our big... Deripaska-Pericles issue. 899 Kilimnik replied: I am carefully optimistic on the question of o... Our friend [Boyarkin] said there is lately sig... his boss' [Deripaska ' s] mind, and he will be... you pretty soon, understanding all the time se... resolved and we will get back to the original ... Eight minutes later, Manafort replied that Kil... Deripaska , ""that if he needs private briefing... the Office that he was willing to brief Deripa... example: why Trump selected Mike Pence as the ... said he never gave Deripaska a briefing. 903 M... want to use Manafort to advance whate ver inte... elsewhere. 904 895 8/18/16 Email, Kilimnik to Dirkse; 8/18/16 Ema... to Marson; 7/27/ 16 Email, Kilimnik to Ash; 8/... Jackson; 8/18/16 Email, Kilimnik to Mendoza-Wi... 896 897 7/7/16 Email, Manafort to Kilimnik. 898 Gates 2/2/18 302, at 13. 899 Manafort 9/ 11/18 302, at 6. 900 7/8/16 Email, Kilimnik to Manafort. 901 7/8/16 Email, Kilimnik to Manafort; Gates 2/2/... 902 Manafort 9/11/18 302, at 6. 903 Manafort 9/11/18 302, at 6. 904 Manafort 9/ 11/ 18 302, at 6. 137 NaN",2
